Num	Sample	Cell_Subtype	Cell_Type
538	PT081_P1_F01	epithelial	Epithelial
539	PT081_P1_F02	epithelial	Epithelial
540	PT081_P1_F03	epithelial	Epithelial
541	PT081_P1_F04	epithelial	Epithelial
542	PT081_P1_F05	epithelial	Epithelial
543	PT081_P1_F06	epithelial	Epithelial
544	PT081_P1_F07	epithelial	Epithelial
545	PT081_P1_F08	epithelial	Epithelial
546	PT081_P1_F11	epithelial	Epithelial
547	PT081_P1_F12	epithelial	Epithelial
548	PT081_P1_G01	epithelial	Epithelial
549	PT081_P1_G02	epithelial	Epithelial
550	PT081_P1_G04	epithelial	Epithelial
551	PT081_P1_G06	epithelial	Epithelial
552	PT081_P1_G07	epithelial	Epithelial
553	PT081_P1_G08	epithelial	Epithelial
554	PT081_P1_G10	epithelial	Epithelial
555	PT081_P1_G11	epithelial	Epithelial
556	PT081_P1_H01	epithelial	Epithelial
557	PT081_P1_H03	epithelial	Epithelial
558	PT081_P1_H04	epithelial	Epithelial
559	PT081_P1_H06	epithelial	Epithelial
560	PT081_P1_H07	epithelial	Epithelial
561	PT081_P1_H08	stroma	Stroma
562	PT081_P1_H10	epithelial	Epithelial
563	PT081_P1_H11	epithelial	Epithelial
564	PT081_P1_H12	epithelial	Epithelial
565	PT081_P3_A02_S194	epithelial	Epithelial
566	PT081_P3_A03_S195	epithelial	Epithelial
567	PT081_P3_A04_S196	epithelial	Epithelial
568	PT081_P3_A05_S197	epithelial	Epithelial
569	PT081_P3_A08_S200	epithelial	Epithelial
570	PT081_P3_A11_S203	epithelial	Epithelial
571	PT081_P3_A12_S204	epithelial	Epithelial
572	PT081_P3_B01_S205	epithelial	Epithelial
573	PT081_P3_B02_S206	epithelial	Epithelial
574	PT081_P3_B03_S207	epithelial	Epithelial
575	PT081_P3_B04_S208	epithelial	Epithelial
576	PT081_P3_B07_S211	epithelial	Epithelial
577	PT081_P3_B08_S212	epithelial	Epithelial
578	PT081_P3_B09_S213	epithelial	Epithelial
579	PT081_P3_B12_S216	epithelial	Epithelial
580	PT081_P3_C01_S217	epithelial	Epithelial
581	PT081_P3_C02_S218	epithelial	Epithelial
582	PT081_P3_C03_S219	epithelial	Epithelial
583	PT081_P3_C04_S220	epithelial	Epithelial
584	PT081_P3_C05_S221	epithelial	Epithelial
585	PT081_P3_C06_S222	epithelial	Epithelial
586	PT081_P3_C09_S225	epithelial	Epithelial
587	PT081_P3_C10_S226	epithelial	Epithelial
588	PT081_P3_C11_S227	epithelial	Epithelial
589	PT081_P3_C12_S228	epithelial	Epithelial
